时间,水深(mm),雨量(mm)
2019/8/20 9:26,0,0
2019/8/20 10:26,0,0
2019/8/20 11:26,0,0
2019/8/20 12:26,0,0
2019/8/20 13:26,0,0
2019/8/20 14:26,0,0
2019/8/20 15:26,0,0
2019/8/20 16:26,0,0
2019/8/20 17:26,0,0
2019/8/20 18:26,0,0
2019/8/20 19:26,0,0
2019/8/20 20:26,0,0
2019/8/20 21:26,0,0
2019/8/20 22:26,0,0
2019/8/20 23:26,0,0
2019/8/21 0:26,0,0
2019/8/21 1:26,0,0
2019/8/21 2:26,0,0
2019/8/21 3:26,0,0
2019/8/21 4:26,0,0
2019/8/21 5:26,0,0
2019/8/21 6:26,0,0
2019/8/21 7:26,0,0
2019/8/21 8:26,0,0
2019/8/21 9:26,0,0
2019/8/21 10:26,0,0
2019/8/21 11:26,0,0
2019/8/21 12:26,0,0
2019/8/21 13:26,0,0
2019/8/21 14:26,0,0
2019/8/21 15:26,0,0
2019/8/21 16:26,0,0
2019/8/21 17:26,0,0
2019/8/21 18:26,0,0
2019/8/21 19:26,0,0
2019/8/21 20:26,0,0
2019/8/21 21:26,0,0
2019/8/21 22:26,0,0
2019/8/21 23:26,0,0
2019/8/22 0:26,0,0
2019/8/22 1:26,0,0
2019/8/22 2:26,0,0
2019/8/22 3:26,0,0
2019/8/22 4:26,0,0
2019/8/22 5:26,0,0
2019/8/22 6:26,0,0
2019/8/22 7:26,0,0
2019/8/22 8:26,0,0
2019/8/22 9:26,0,0
2019/8/22 10:26,0,0
2019/8/22 11:26,0,0
2019/8/22 12:26,0,0
2019/8/22 12:31,0,0.2
2019/8/22 12:36,0,0.2
2019/8/22 12:46,0,0.4
2019/8/22 12:51,0,0.2
2019/8/22 13:26,0,0
2019/8/22 14:26,0,0
2019/8/22 15:26,0,0
2019/8/22 16:26,0,0
2019/8/22 17:26,0,0
2019/8/22 18:26,0,0
2019/8/22 19:26,0,0
2019/8/22 20:26,0,0
2019/8/22 21:26,0,0
2019/8/22 22:26,0,0
2019/8/22 23:26,0,0
2019/8/23 0:26,0,0
2019/8/23 1:26,0,0
2019/8/23 2:26,0,0
2019/8/23 3:26,0,0
