时间,水深(mm),雨量(cm),,,
2019/8/20 9:47,0,0,,310,10
2019/8/20 10:47,0,0,,,
2019/8/20 11:47,0,0,,,
2019/8/20 12:47,0,0,,,
2019/8/20 13:47,0,0,,,
2019/8/20 14:47,0,0,,,
2019/8/20 15:47,0,0,,,
2019/8/20 16:47,0,0,,,
2019/8/20 17:47,0,0,,,
2019/8/20 18:47,0,0,,,
2019/8/20 19:47,0,0,,,
2019/8/20 20:47,0,0,,,
2019/8/20 21:47,0,0,,,
2019/8/20 22:47,0,0,,,
2019/8/20 23:47,0,0,,,
2019/8/21 0:47,0,0,,,
2019/8/21 1:47,0,0,,,
2019/8/21 2:47,0,0,,,
2019/8/21 3:47,0,0,,,
2019/8/21 4:47,0,0,,,
2019/8/21 5:47,0,0,,,
2019/8/21 6:47,0,0,,,
2019/8/21 7:47,0,0,,,
2019/8/21 8:47,0,0,,,
2019/8/21 9:47,0,0,,,
2019/8/21 10:47,0,0,,,
2019/8/21 11:47,0,0,,,
2019/8/21 12:47,0,0,,,
2019/8/21 13:47,0,0,,,
2019/8/21 14:47,0,0,,,
2019/8/21 16:47,0,0,,,
2019/8/21 17:47,0,0,,,
2019/8/21 18:47,0,0,,,
2019/8/21 19:47,0,0,,,
2019/8/21 20:47,0,0,,,
2019/8/21 21:47,0,0,,,
2019/8/21 22:47,0,0,,,
2019/8/21 23:47,0,0,,,
2019/8/22 0:47,0,0,,,
2019/8/22 1:47,0,0,,,
2019/8/22 2:47,0,0,,,
2019/8/22 3:47,0,0,,,
2019/8/22 4:47,0,0,,,
2019/8/22 5:47,0,0,,,
2019/8/22 6:47,0,0,,,
2019/8/22 7:47,0,0,,,
2019/8/22 8:47,0,0,,,
2019/8/22 9:47,0,0,,,
2019/8/22 10:47,0,0,,,
2019/8/22 11:47,0,0,,,
2019/8/22 12:37,0,0.2,,,
2019/8/22 12:47,0,0.2,,,
2019/8/22 12:57,0,0.4,,,
2019/8/22 13:02,0,3.2,,,
2019/8/22 13:07,0,0.8,,,
2019/8/22 13:12,10,1.2,,,
2019/8/22 13:17,10,0.8,,,
2019/8/22 13:22,10,0.6,,,
2019/8/22 13:27,10,0,,,
2019/8/22 13:32,10,0,,,
2019/8/22 13:37,10,0,,,
